,Latitude,Longitude,Altitude,Image Names
60,36.9036696,38.9232604,594.803,D:\3_Sinif\Staj\ceylanpinar\IMG_0460_3.tif
61,36.9036657,38.9233924,594.749,D:\3_Sinif\Staj\ceylanpinar\IMG_0461_3.tif
62,36.9036651,38.923524099999995,594.834,D:\3_Sinif\Staj\ceylanpinar\IMG_0462_3.tif
63,36.9036638,38.923657,594.912,D:\3_Sinif\Staj\ceylanpinar\IMG_0463_3.tif
64,36.90366,38.9237918,595.073,D:\3_Sinif\Staj\ceylanpinar\IMG_0464_3.tif
65,36.9036537,38.9239256,595.161,D:\3_Sinif\Staj\ceylanpinar\IMG_0465_3.tif
66,36.903650299999995,38.924060499999996,595.101,D:\3_Sinif\Staj\ceylanpinar\IMG_0466_3.tif
67,36.9036475,38.9241921,595.197,D:\3_Sinif\Staj\ceylanpinar\IMG_0467_3.tif
68,36.903643599999995,38.924309,595.324,D:\3_Sinif\Staj\ceylanpinar\IMG_0468_3.tif
69,36.903641,38.9243909,595.214,D:\3_Sinif\Staj\ceylanpinar\IMG_0469_3.tif
70,36.9036393,38.9244467,595.162,D:\3_Sinif\Staj\ceylanpinar\IMG_0470_3.tif
71,36.903636299999995,38.9244856,595.38,D:\3_Sinif\Staj\ceylanpinar\IMG_0471_3.tif
72,36.903635,38.924512799999995,595.527,D:\3_Sinif\Staj\ceylanpinar\IMG_0472_3.tif
73,36.9036326,38.9245339,595.722,D:\3_Sinif\Staj\ceylanpinar\IMG_0473_3.tif
74,36.9036311,38.9245482,596.083,D:\3_Sinif\Staj\ceylanpinar\IMG_0474_3.tif
75,36.9036258,38.9245672,596.448,D:\3_Sinif\Staj\ceylanpinar\IMG_0475_3.tif
76,36.9036238,38.9245708,596.638,D:\3_Sinif\Staj\ceylanpinar\IMG_0476_3.tif
77,36.9036264,38.9245686,596.947,D:\3_Sinif\Staj\ceylanpinar\IMG_0477_3.tif
78,36.9036186,38.9245488,595.407,D:\3_Sinif\Staj\ceylanpinar\IMG_0478_3.tif
79,36.903572,38.9245081,589.539,D:\3_Sinif\Staj\ceylanpinar\IMG_0479_3.tif
80,36.9034778,38.9244367,582.916,D:\3_Sinif\Staj\ceylanpinar\IMG_0480_3.tif
81,36.9033484,38.9243461,576.994,D:\3_Sinif\Staj\ceylanpinar\IMG_0481_3.tif
82,36.9032383,38.9242649,571.501,D:\3_Sinif\Staj\ceylanpinar\IMG_0482_3.tif
83,36.9031132,38.924162499999994,564.544,D:\3_Sinif\Staj\ceylanpinar\IMG_0483_3.tif
84,36.903000299999995,38.9240674,557.851,D:\3_Sinif\Staj\ceylanpinar\IMG_0484_3.tif
85,36.9028833,38.9239709,551.194,D:\3_Sinif\Staj\ceylanpinar\IMG_0485_3.tif
86,36.9027633,38.9238761,544.693,D:\3_Sinif\Staj\ceylanpinar\IMG_0486_3.tif
87,36.90264,38.923779499999995,538.566,D:\3_Sinif\Staj\ceylanpinar\IMG_0487_3.tif
88,36.902517599999996,38.9236785,532.239,D:\3_Sinif\Staj\ceylanpinar\IMG_0488_3.tif
89,36.9023962,38.9235809,525.487,D:\3_Sinif\Staj\ceylanpinar\IMG_0489_3.tif
90,36.9022773,38.923487699999995,518.712,D:\3_Sinif\Staj\ceylanpinar\IMG_0490_3.tif
91,36.9021584,38.92339,512.175,D:\3_Sinif\Staj\ceylanpinar\IMG_0491_3.tif
92,36.9020243,38.9232778,504.573,D:\3_Sinif\Staj\ceylanpinar\IMG_0492_3.tif
93,36.901907099999995,38.9231799,498.016,D:\3_Sinif\Staj\ceylanpinar\IMG_0493_3.tif
94,36.901843299999996,38.9231238,495.318,D:\3_Sinif\Staj\ceylanpinar\IMG_0494_3.tif
95,36.9018685,38.9231534,491.629,D:\3_Sinif\Staj\ceylanpinar\IMG_0495_3.tif
96,36.901885799999995,38.9231536,487.955,D:\3_Sinif\Staj\ceylanpinar\IMG_0496_3.tif
97,36.9018827,38.923137499999996,483.334,D:\3_Sinif\Staj\ceylanpinar\IMG_0497_3.tif
98,36.9018671,38.9231364,478.185,D:\3_Sinif\Staj\ceylanpinar\IMG_0498_3.tif
99,36.901861499999995,38.923145399999996,473.34,D:\3_Sinif\Staj\ceylanpinar\IMG_0499_3.tif
